"environment.time","Ca_Concentrations.Ca_i","I_Ca.I_Ca_tot","membrane.I_tot","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_SRCarel","SR_Fluxes.Ry_Ro"
 2.25544734485404774e+01, 2.04369051991280131e-04,-4.22284035921057121e+00, 4.37683578276310925e+00, 1.93148315769645293e+01, 4.92470408834298212e-01, 8.08885220875057981e-05, 6.60640048097515856e-06
 2.26618129927121075e+01, 2.04518998626029548e-04,-4.41593554005887601e+00, 4.42981302251381859e+00, 1.88420159875241922e+01, 4.92470142356038476e-01, 9.16081902311864426e-05, 7.48428601501263715e-06
 2.27691525368837375e+01, 2.04674303272032039e-04,-4.60396434907375696e+00, 4.46360309311514403e+00, 1.83645208577167232e+01, 4.92469381159290676e-01, 1.03524095902465392e-04, 8.46051153053842055e-06
 2.28764920810553676e+01, 2.04834950278228134e-04,-4.78725803485592660e+00, 4.47985240409207819e+00, 1.78843238282741623e+01, 4.92468069049787016e-01, 1.16697717945899398e-04, 9.54020718918605362e-06
 2.29838316252269976e+01, 2.05000923242130772e-04,-4.96603521224483746e+00, 4.48013907085963137e+00, 1.74032633689488314e+01, 4.92466146952885375e-01, 1.31190872693420373e-04, 1.07285391188598990e-05
 2.30911711693986277e+01, 2.05172203096039816e-04,-5.14043609140669489e+00, 4.46596644399604337e+00, 1.69229885737360668e+01, 4.92463552911449831e-01, 1.47065077173126466e-04, 1.20306583050695259e-05
 2.32559236448808093e+01, 2.05445370978777763e-04,-5.39978462979728402e+00, 4.41933996616807256e+00, 1.61906638880375091e+01, 4.92458114711099459e-01, 1.74258207659957695e-04, 1.42624841847263431e-05
 2.34206761203629910e+01, 2.05730902378108241e-04,-5.64906881506238445e+00, 4.34689766544816791e+00, 1.54682282628376395e+01, 4.92450692381741495e-01, 2.05072358162697706e-04, 1.67932493094549673e-05
 2.35854285958451726e+01, 2.06028684236179407e-04,-5.88814269284637160e+00, 4.25317197574690553e+00, 1.47595046219792625e+01, 4.92441022524312433e-01, 2.39725651842685500e-04, 1.96413577038140487e-05
 2.37501810713273542e+01, 2.06338580485790053e-04,-6.11674007956661647e+00, 4.14231803896161921e+00, 1.40676649145573940e+01, 4.92428826293567545e-01, 2.78430489392373390e-04, 2.28248018760267984e-05
 2.39149335468095359e+01, 2.06660436066111853e-04,-6.33455038159790451e+00, 4.01808001225915046e+00, 1.33952561447652272e+01, 4.92413809822991988e-01, 3.21393574348326824e-04, 2.63611640431574188e-05
 2.40796860222917175e+01, 2.06994074578303742e-04,-6.54127203394829682e+00, 3.88377884535108642e+00, 1.27442148767854100e+01, 4.92395664821051793e-01, 3.68811269494088317e-04, 3.02672326155885819e-05
 2.43518779851775093e+01, 2.07570570234933159e-04,-6.85784841664567857e+00, 3.64746341722032597e+00, 1.17190107531199637e+01, 4.92357969885124092e-01, 4.57389909291762431e-04, 3.75718274472665987e-05
 2.46240699480633012e+01, 2.08177744224578837e-04,-7.14260573644363994e+00, 3.40244393960617231e+00, 1.07596213744252225e+01, 4.92309328231486099e-01, 5.59372379300385192e-04, 4.59933847545979988e-05
 2.48962619109490930e+01, 2.08814600182803613e-04,-7.39514571204919680e+00, 3.15715595628283996e+00, 9.86708108115770699e+00, 4.92248131456987648e-01, 6.75409297058941760e-04, 5.55893638959102234e-05
 2.51684538738348849e+01, 2.09480106612856788e-04,-7.61569010197911211e+00, 2.91783580937136300e+00, 9.04054357615885174e+00, 4.92172703438155612e-01, 8.06005120482946582e-04, 6.64056385496798193e-05
 2.54406458367206767e+01, 2.10173309355184097e-04,-7.80506199797420486e+00, 2.68885881192493059e+00, 8.27781446472663696e+00, 4.92081316582025197e-01, 9.51543026932259923e-04, 7.84786309908318535e-05
 2.57128377996064685e+01, 2.10893423737205888e-04,-7.96456593720577821e+00, 2.47309369539795121e+00, 7.57568977342033456e+00, 4.91972204685054260e-01, 1.11232763160529820e-03, 9.18388273179655834e-05
 2.59850297624922604e+01, 2.11639764861453508e-04,-8.09585768706192788e+00, 2.27222972905303155e+00, 6.93029851888081794e+00, 4.91843575500301167e-01, 1.28853545433332546e-03, 1.06506588696048099e-04
 2.65037140904203241e+01, 2.13132901390982978e-04,-8.27488834320647904e+00, 1.93319579269634811e+00, 5.84273762798308116e+00, 4.91537950168003779e-01, 1.66713640260934609e-03, 1.38111412794038812e-04
 2.70223984183483878e+01, 2.14718614444472814e-04,-8.37271160119884073e+00, 1.65042738339907391e+00, 4.91682557167318013e+00, 4.91142475744860252e-01, 2.10172807203233081e-03, 1.74540288203534299e-04
