"environment.time","Ca_Concentrations.Ca_i","I_Ca.I_Ca_tot","membrane.I_tot","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_SRCarel","SR_Fluxes.Ry_Ro"
 2.29998601135865748e+01, 1.76093379814083745e-04,-4.98706365922469796e+00, 4.39300189875467240e+00, 1.73188589179139534e+01, 4.92525739720100664e-01, 1.26884131405236017e-04, 1.03745022210090894e-05
 2.31472052006917863e+01, 1.76317381608136393e-04,-5.22439319122248236e+00, 4.37502278921522869e+00, 1.66725927489140098e+01, 4.92529881484008725e-01, 1.48825271387075734e-04, 1.21737764622513204e-05
 2.32945502877969979e+01, 1.76551048245800229e-04,-5.45351374548417756e+00, 4.33362139082144626e+00, 1.60307032217074621e+01, 4.92532570531496905e-01, 1.73511412893001960e-04, 1.41993355902080180e-05
 2.34418953749022094e+01, 1.76794313299601379e-04,-5.67446891679845855e+00, 4.27217661297582918e+00, 1.53964064342333682e+01, 4.92533627287763343e-01, 2.01099515805169376e-04, 1.64643718732212393e-05
 2.35892404620074210e+01, 1.77047097316453372e-04,-5.88718104087143868e+00, 4.19384711688490519e+00, 1.47724644327736971e+01, 4.92532862138584160e-01, 2.31745015210616971e-04, 1.89819862404922072e-05
 2.37365855491126325e+01, 1.77309306386827888e-04,-6.09150832035231726e+00, 4.10153567419228704e+00, 1.41611607475061767e+01, 4.92530075615176588e-01, 2.65599378297042444e-04, 2.17649886327368232e-05
 2.39578237891723873e+01, 1.77720476844515099e-04,-6.38219028722982795e+00, 3.94239210229442438e+00, 1.32709870575830902e+01, 4.92521634954424914e-01, 3.22777371714763790e-04, 2.64692013284257428e-05
 2.41790620292321421e+01, 1.78152254878628238e-04,-6.65295615190987277e+00, 3.76553161503415268e+00, 1.24181490265939978e+01, 4.92507417525600455e-01, 3.87993442174435030e-04, 3.18401983868327456e-05
 2.44003002692918969e+01, 1.78604189937743471e-04,-6.90321705349916837e+00, 3.57764692611818091e+00, 1.16057392494665788e+01, 4.92486632783705303e-01, 4.61688076111949617e-04, 3.79158708150708148e-05
 2.46215385093516517e+01, 1.79075788203349976e-04,-7.13257121778603498e+00, 3.38427462434572046e+00, 1.08355652156914992e+01, 4.92458450175353835e-01, 5.44252502148599021e-04, 4.47302518389472659e-05
 2.48427767494114065e+01, 1.79566548000452018e-04,-7.34086763339358939e+00, 3.18987876271886339e+00, 1.01083658264889191e+01, 4.92422003750030479e-01, 6.36033486676323740e-04, 5.23139261811166558e-05
 2.50640149894711612e+01, 1.80075979660858755e-04,-7.52821130161555274e+00, 2.99796617250828845e+00, 9.42397665931393291e+00, 4.92376396626067303e-01, 7.37334495557770788e-04, 6.06941108130745624e-05
 2.54655311913098217e+01, 1.81046641077533399e-04,-7.81594363962175720e+00, 2.66434683119803939e+00, 8.28831785713920155e+00, 4.92267225339181547e-01, 9.46228195868556096e-04, 7.80055693645314023e-05
 2.58670473931484821e+01, 1.82074632519552365e-04,-8.03960551256315448e+00, 2.35789956370813769e+00, 7.28175565878418940e+00, 4.92119176933098756e-01, 1.18822208870403225e-03, 9.81086593015468997e-05
 2.62685635949871426e+01, 1.83158164537054605e-04,-8.20443029111100230e+00, 2.08355064134560042e+00, 6.39182964453582070e+00, 4.91926450340491150e-01, 1.46387216900087272e-03, 1.21068395700113654e-04
 2.66700797968258030e+01, 1.84296434174970497e-04,-8.31672958507168048e+00, 1.84240220547532463e+00, 5.60511580750034444e+00, 4.91683194406806301e-01, 1.77335688806905560e-03, 1.46921831486958765e-04
 2.70715959986644634e+01, 1.85489749263643858e-04,-8.38325978321111620e+00, 1.63320749543185517e+00, 4.90856403572550359e+00, 4.91383575074078038e-01, 2.11654082167022327e-03, 1.75683956385498701e-04
 2.74731122005031239e+01, 1.86739816832674337e-04,-8.41057991083536116e+00, 1.45352111535052053e+00, 4.28992547038285998e+00, 4.91021808072534482e-01, 2.49322423358864717e-03, 2.07369474778681809e-04
 2.78746284023417843e+01, 1.88049866835331137e-04,-8.40469854220385493e+00, 1.30039833398820370e+00, 3.73794471694717512e+00, 4.90592151601617066e-01, 2.90341974157628992e-03, 2.42016409454832678e-04
 2.85356660957218864e+01, 1.90348939245903317e-04,-8.33677913563327877e+00, 1.09798811729257295e+00, 2.94848288404520398e+00, 4.89721753531263848e-01, 3.65179379421311321e-03, 3.05628135704012272e-04
